D'Almachtige_is mijn Herder en Geleide;True;13;3;False;;;
Gebed;False;13;4;False;False;;
Hoe lang, HEER, gaat Gij mij voorbij?;True;13;8;False;;;
Jezus, Hij is Koning,;True;13;10;False;False;;
De herder heeft zich niet vergist,;True;13;11;False;;;
ZG nr. 301:  Mijn hart wacht stil op U;True;13;13;False;False;;
Heel mijn ziel roept naar U;False;13;16;False;False;;
De dwaas zegt in zijn hart: Er is geen God.;True;14;1;False;;;
De grote mensen durven niet;True;14;2;False;;;
De Heer is mijn Herder!;True;14;3;False;;;
Gebed;False;14;4;BLOB;False;False;
"De dwaas zegt in zijn hart: ""Er is geen God";",""True";14;8;False;;;
Then shall the eyes of the blind be open’d;True;14;13;False;False;;
Uw liefde en goedheid;True;14;16;False;False;;
Uw liefde en goedheid;False;14;a;16;False;False;
Thy loving kindness;False;14;b;16;False;False;
HEER, wie mag wonen in uw tent,;True;15;1;False;;;
Geloofd zijt Gij, God onze Heer;True;15;2;False;;;
Loof nu, mijn ziel, de Here;True;15;3;False;;;
Wie zult Gij noden in uw tent,;True;15;8;False;;;
Net zo diep, diep, diep als de zee.;True;15;12;False;;;
Artikel 8  DE HEILIGE DRIEËENHEID;False;15;13;False;False;;
Wie mag, o God, bewonen;True;15;14;False;;;
God zij ons genadig;True;15;16;False;;;
Bewaar mij, HEER, mijn toeverlaat zijt Gij!;True;16;1;False;;;
Heer onze Heer, hoe machtig is uw Naam;True;16;2;False;;;
Gij volken looft uw God en Heer;True;16;3;False;False;;
Bewaar mij, want ik schuil bij U, o God,;True;16;8;False;;;
Dit is m'n hand en dat m'n voet.;True;16;11;False;;;
Awesome God refrein;True;16;13;False;;;
Heel de aarde jubelt en juicht;False;16;16;False;False;;
Hoor naar een rechte zaak, o HEER,;True;17;1;False;;;
Wie is God behalve onze Heer?;True;17;2;False;;;
k Hef, vol verlangst, van dag tot dag mijn ogen;True;17;3;False;;;
Kinderen naar de nevendienst;False;17;4;False;False;;
Hoor, Heer, Gij God van trouw en recht,;True;17;8;False;;;
Ja, God is goed;False;17;10;False;False;;
Een Koning is geboren,;True;17;11;False;;;
Bachlied;True;17;13;False;;;
Wie in de schaduw Gods mag wonen;True;17;16;False;;;
Ik heb U lief van ganser harte, HERE.;True;18;1;False;;;
Naar U gaat mijn verlangen, Heer;True;18;2;False;;;
Zalige ure! vruchtbaar van verblijden,;True;18;3;False;;;
Ik heb U lief van ganser harte, HERE.;True;18;8;False;;;
Een rivier vol van vrede,;True;18;11;False;;;
Beautiful One;True;18;13;False;;;
De HERE is Koning;False;18;16;False;False;;
Het ruime firmament;True;19;1;False;;;
Zing en speelt voor de Heer van ganser harte;True;19;2;False;;;
Uit angst en nood stijgt mijn gebed.;True;19;3;False;;;
De hemel roemt den Heer,;True;19;8;False;;;
Een wijs man bouwde zijn huis op de rots;True;19;11;False;;;
Ik zit op het puntje van mijn stoel;True;19;12;False;;;
Bidden is praten;True;19;13;False;;;
Zing voor de HEER;False;19;16;False;False;;
Moge de HEER u antwoord geven,;True;20;1;False;;;
Alle einden der aarde aanschouwen;True;20;2;False;;;
Laat ons nu vrolijk zingen!;True;20;3;False;False;;
Moge de HEER u antwoord geven;True;20;8;False;;;
Elk oog zal Hem zien als Hij komt;True;20;13;False;;;
Jismechoe ha sjammajiem;False;20;16;False;False;;
O HEER, de koning is verblijd.;True;21;1;False;;;
Mijn God zijt gij, U wil ik danken;True;21;2;False;;;
Alles wat adem heeft love de Here;True;21;3;False;False;;
O HEER, de koning is verheugd!;True;21;8;False;;;
Jezus sprak hier op aard:;True;21;11;False;;;
Geloofsbelijdenis - (Mel. Ps. 68);True;21;13;False;False;;
De HEER regeert;False;21;16;False;False;;
Mijn God, mijn God, waarom verlaat Gij mij,;True;22;1;False;;;
Uw woord omvat mijn leven;True;22;2;False;;;
De wijsheid van voor alle tijden;True;22;3;False;;;
Dankgebed en voorbeden;False;22;4;False;False;;
Mijn God, mijn God, waarom verlaat Gij mij;True;22;8;False;;;
Geef mij olie in mijn lamp, houdt hem brandend;True;22;11;False;;;
Als een hert (LvdGZ 538);True;22;13;False;False;;
Zingt een nieuw lied, alle landen;False;22;16;False;False;;
De HERE wil mijn trouwe herder wezen,;True;23;1;False;;;
Uw Woord is een lamp voor mijn voet;True;23;2;False;;;
Het zal zijn in het laatste der tijden;True;23;3;False;;;
Kinderen;False;23;4;False;False;;
Ik wil van God als van mijn Herder spreken.;True;23;8;False;;;
"Majesteit, groot is Zijn majesteit;";True;23;11;False;;;
Blessed be Your name in the land that is plentiful;True;23;13;False;;;
Juicht de HERE, gij ganse aarde;False;23;16;False;False;;
De aarde is, met al wat leeft,;True;24;1;False;;;
Als God ons thuisbrengt uit onze ballingschap;True;24;2;False;;;
Jesaja de profeet zag in de geest;False;24;3;False;False;;
De aarde en haar volheid zijn;True;24;8;False;;;
God, die alles maakte, ;True;24;11;False;;;
Blessed be your name ;True;24;13;False;;;
Juicht aarde, juicht alom de HEER;True;24;16;False;;;
k Hef mijn ziel in vast vertrouwen;True;25;1;False;;;
Vol tranen zien wij hoe de tijd ;True;25;2;False;;;
Het volk dat wandelt in het duister;True;25;3;False;;;
Het volk dat wandelt in het duister;False;25;a;3;False;False;
Kinderen terughalen;False;25;4;False;False;;
HEER, ik hef mijn hart en handen;True;25;8;False;;;
Laat ons met elkander, (2x);True;25;10;False;False;;
Wanneer de Heer der heren;True;25;13;False;;;
Looft de HERE mijn ziel;False;25;16;False;False;;
O, HERE, doe mij recht!;True;26;1;False;;;
Alles wat adem heeft love de Heer;True;26;2;False;;;
Daar is uit 's werelds duist're wolken;True;26;3;False;False;;
Geloofsbelijdenis;False;26;4;False;False;;
O HEER, op wie ik pleit,;True;26;8;False;;;
A heart that knows You (Twila Paris);False;26;13;False;False;;
Lead me Lord.;True;26;15;False;;;
Gij dienaars van Hem;True;26;16;False;;;
God is mijn licht, mijn heil: wie zou ik vrezen?;True;27;1;False;False;;
De mensen die gaan in het duister;True;27;2;False;;;
De Heer richt op zijn berg een maaltijd aan,;True;27;3;False;;;
Mijn licht, mijn heil is Hij, mijn God en HERE!;True;27;8;False;False;;
Leid mij, Heer, o machtig Heiland;False;27;10;False;False;;
t Is feest vandaag, 't is pinksterfeest,;True;27;11;False;;;
Geloofsbelijdenis (onber.);False;27;13;False;False;;
Gewillig zal uw volk zijn;False;27;16;False;False;;
Ik roep tot U, mijn rots, mijn HERE!;True;28;1;False;;;
Eens zal er vrede zijn;True;28;2;False;;;
Wij hebben een sterke stad,;True;28;3;False;;;
Ik roep tot U, mijn rots, mijn HERE!;True;28;8;False;;;
Het water steeg wel hoog,;True;28;11;False;;;
Geloofsbelijdenis (mel. Gez. 293);True;28;13;False;False;;
Halleluja, halleluja. Ik zal de HERE;True;28;16;False;False;;
Hemelingen, buigt u neer,;True;29;1;False;;;
Troost, troost mijn volk! zo zegt uw God;True;29;2;False;;;
Gij die 't menselijke leven;True;29;3;False;;;
Zegen;False;29;4;False;False;;
Gij die hoog verheven zijt,;True;29;8;False;;;
Hoger dan de blauwe luchten,;True;29;11;False;;;
Geloofsbelijdenis (Mel. Gez. 135);True;29;13;False;False;;
God heb ik lief;False;29;16;False;False;;
U zal ik loven, trouwe HEER,;True;30;1;False;;;
Ik breng een rechter aan het licht;True;30;2;False;;;
Wie mat de waat'ren in zijn holle hand,;True;30;3;False;False;;
Dank, HEER, Gij hebt het niet gedoogd,;True;30;8;False;;;
Hoog in de boom,;True;30;11;False;;;
Geloofsbelijdenis (Mel. Gez. 114 / 13B);True;30;13;False;False;;
Looft de HERE, alle gij volken;False;30;16;False;False;;
Bij U, o HEER, zoek ik bescherming.;True;31;1;False;;;
Daar komt de man uit Anathoth;True;31;2;False;;;
Zij zullen de wereld bewonen,;True;31;3;False;;;
Le symbole des Apôtres (Le Credo);False;31;4;False;False;;
Op U vertrouw ik, HEER der Heren,;True;31;8;False;;;
Geloofsbelijdenis (Mel. Gez. 440);True;31;13;False;False;;
Laudate omnes gentes;False;31;16;False;False;;
Welzalig hij wiens zonde is vergeven,;True;32;1;False;;;
Het is Gods goedheid en geduld;True;32;2;False;;;
Hoe lieflijk, hoe schoon zijn de schreden;True;32;3;False;;;
La Bénédiction;False;32;4;False;False;;
Heil hem, wien God zijn ontrouw heeft vergeven;True;32;8;False;False;;
Dit is de dag, (2x);False;32;10;False;False;;
Ik ben de Heer uw God, Ik alleen,;True;32;11;False;;;
De bestemming;True;32;13;False;False;;
Ik hef mijn ogen op naar de bergen;False;32;16;False;False;;
Zingt vrolijk, looft de naam des HEREN,;True;33;1;False;;;
Jona heeft God wel verstaan;True;33;2;False;;;
O alle gij dorstigen, komt tot de stromen;True;33;3;False;;;
Geloofsbelijdenis;False;33;4;False;False;;
Komt nu met zang en roert de snaren,;True;33;8;False;;;
De Bijbel;False;33;13;False;False;;
HERE, mijn hart is niet hovaardig;False;33;16;False;False;;
Ik zing voor God, de HEER.;True;34;1;False;;;
Al zou de vijgenboom niet bloeien;True;34;2;False;;;
Om Sions wil zwijg ik niet stil,;True;34;3;False;False;;
Onze Vader;False;34;4;False;False;;
Ik loof den HEER altijd.;True;34;8;False;;;
Hiney ma tov ooma nayim ;True;34;10;False;;;
K heb mijn woord hier gesproken op aard.;True;34;12;False;;;
De Greep;True;34;13;False;False;;
Hinnee matov;True;34;a;16;False;;
Hinnee matov;True;34;b;16;False;;
Hinnee matov;False;34;16;False;False;;
Twist met mijn twisters, HERE God.;True;35;1;False;;;
De wijzen, de wijzen;True;35;2;False;;;
Scheur, Heer, de heem'len, scheur ze wijd;True;35;3;False;;;
De Tien Geboden;False;35;4;False;False;;
Twist, HERE, met mijn twisters, strijd;True;35;8;False;;;
k stel mijn vertrouwen;True;35;11;False;;;
De Here;True;35;13;False;;;
Komt, prijst de HEER;False;35;16;False;False;;
De zonde spreekt haar vleiend woord,;True;36;1;False;;;
O allerhoogste Majesteit;True;36;2;False;;;
Ik zal, zo spreekt de Here;True;36;3;False;False;;
Geloofsbelijdenis van Nicea;False;36;4;False;False;;
Ps 36 : 3A+2B;True;36;x;8;False;False;
De zonde die de zondaars vleit;True;36;8;False;;;
De wapenrusting;False;36;13;False;False;;
Schepper en Koning;True;36;16;False;;;
Wees niet jaloers op hen die onrecht plegen,;True;37;1;False;;;
Hoor, onze Vader, hoor ons aan;True;37;2;False;;;
Zo sprak de Heer der legerscharen,;True;37;3;False;False;;
Wees niet afgunstig op de goddeloze,;True;37;8;False;;;
Ik was hongerig en jij gaf Mij te eten,;True;37;11;False;;;
Adventslied 2011;False;37;13;False;False;;
Prijst de HEER met blijde galmen;True;37;16;False;;;
Blijf mij niet in toorn kastijden,;True;38;1;False;;;
Zoek eerst het koninkrijk van God;True;38;2;False;;;
De Heer spreekt: hoor mijn hartsgeheim,;True;38;3;False;False;;
Laat toch niet uw toorn, o HERE,;True;38;8;False;;;
Ik zag een kuikentje, dat bij zijn moeder zat,;True;38;11;False;;;
De wens;True;38;13;False;;;
Israël, verheug u in uw Maker;True;38;16;False;;;
Ik dacht: ik zal de rechte wegen gaan,;True;39;1;False;;;
Als je bidt zal Hij je geven;False;39;2;False;False;;
Vrees niet, gij land, verheug u en wees blijde;True;39;3;False;False;;
Ik zeide wel: Nu let ik op mijn weg;True;39;8;False;;;
De Hemel;True;39;13;False;;;
Halleluja, looft God in zijn heiligdom;True;39;16;False;False;;
Met heel mijn hart heb ik de HEER verwacht,;True;40;1;False;;;
Welkom, welkom Koning Jezus;True;40;2;False;;;
Zijt Gij mijn God,;True;40;3;False;;;
Met heel mijn hart heb ik de HEER verwacht,;True;40;8;False;;;
Zoekt eerst het Koninkrijk van God;True;40;10;False;False;;
In het begin lag de aarde verloren,;True;40;11;False;;;
Dit is de dag;True;40;13;False;;;
In het begin lag de aarde verloren;True;40;16;False;;;
Heil hem die den geringe helpt in nood,;True;41;1;False;;;
Hoor! kind'ren zingen in hun spel;True;41;2;False;;;
